GENESIS-Tabelle: 21371-101
Hochschulfinanzen: Einnahmen (EUR), Einnahmenarten,;;;;;;;;;
Hochschulen, Lehr- und Forschungsbereiche -;;;;;;;;;
Sachsen - Jahre (2006 bis 2014);;;;;;;;;
Hochschulfinanzstatistik, jährlich;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Einnahmen der Hochschulen (Tsd. EUR);;;;;;;;;
;;;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten
;;;Insgesamt;Beiträge der Studenten;Einnahmen aus wirtschaftl. Tätigkeit und Vermögen;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;And. Einnahmen aus Zuwendungen/Zuschüssen (oh.T.)
;;;;Insgesamt;Insgesamt;Insgesamt;vom öffentlichen  Bereich (ohne Träger);vom anderen Bereich (ohne Träger);Insgesamt
Insgesamt;  Maschinenbau/Verfahrenstechnik;2014;141382;10;6116;135148;61429;73719;107
Insgesamt;  Raumplanung;2014;1412;2;1;1409;84;1325;-
Insgesamt;  Verkehrstechnik, Nautik;2014;6573;22;619;5931;1538;4393;-
Insgesamt;  Vermessungswesen;2014;2283;12;28;2243;612;1632;-
Insgesamt;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;1;-;1;-;-;-;-
Insgesamt;Kunst, Kunstwissenschaft;2014;6208;892;375;4908;1303;3605;33
Insgesamt;  Bildende Kunst;2014;538;15;4;519;-;519;-
Insgesamt;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;952;92;126;733;432;302;-
Insgesamt;  Gestaltung;2014;531;255;54;221;157;64;-
Insgesamt;  Kunst, Kunstwissenschaft allgemein;2014;709;-;-;709;252;457;-
Insgesamt;  Musik, Musikwissenschaft;2014;3478;530;191;2725;462;2263;33
Insgesamt;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;76356;2044;10244;61392;23866;37526;2676
Insgesamt;  Hochschule insgesamt;2014;4641;40;2671;1624;583;1041;306
Insgesamt;  Hochschulrechenzentrum;2014;1347;6;666;675;257;418;-
Insgesamt;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;18;18;-;-;-;-;-
Insgesamt;  Soziale Einrichtungen;2014;37;-;37;-;-;-;-
Insgesamt;  Übrige Ausbildungseinrichtungen;2014;2103;102;882;1119;77;1042;-
Insgesamt;  Zentral verwaltete Hörsäle und Lehrräume;2014;9;-;9;-;-;-;-
Insgesamt;  Zentralbibliothek;2014;4637;292;331;4013;980;3033;-
Insgesamt;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;2093;677;721;694;-;694;-
Insgesamt;  Zentrale Hochschulverwaltung;2014;40492;815;4173;33424;15641;17783;2080
Insgesamt;  Zentrale wissenschaftliche Einrichtungen;2014;20982;94;754;19843;6327;13515;291
Insgesamt;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;100931;-;96849;3535;1495;2040;546
Insgesamt;  Kliniken insgesamt, Zentrale Dienste;2014;82889;-;79261;3284;1495;1789;345
Insgesamt;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;2347;-;2096;251;-;251;-
Insgesamt;  Soziale Einrichtungen der Kliniken;2014;371;-;371;-;-;-;-
Insgesamt;  Übrige Ausbildungseinrichtungen der Kliniken;2014;15323;-;15122;-;-;-;202
Insgesamt;Insgesamt;2014;1378849;15308;819685;539355;191169;348186;4501
Universitäten in Trägerschaft des Landes;Sprach- und Kulturwissenschaften;2014;23561;346;469;22746;5941;16805;-
Universitäten in Trägerschaft des Landes;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;1005;-;0;1005;28;977;-
Universitäten in Trägerschaft des Landes;  Altphilologie (klass. Philologie);2014;20;-;-;20;-;20;-
Universitäten in Trägerschaft des Landes;  Anglistik, Amerikanistik;2014;366;-;1;365;15;351;-
Universitäten in Trägerschaft des Landes;  Bibliothekswissenschaft, Dokumentation;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Erziehungswissenschaften;2014;5165;50;90;5025;2379;2646;-
Universitäten in Trägerschaft des Landes;  Evangelische Theologie;2014;209;-;2;207;82;125;-
Universitäten in Trägerschaft des Landes;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;2464;3;13;2448;331;2117;-
Universitäten in Trägerschaft des Landes;  Geschichte;2014;2062;-;11;2052;553;1498;-
Universitäten in Trägerschaft des Landes;  Katholische Theologie;2014;83;-;-;83;-;83;-
Universitäten in Trägerschaft des Landes;  Kulturwissenschaften i.e.S.;2014;304;-;-;304;-;304;-
Universitäten in Trägerschaft des Landes;  Philosophie;2014;534;-;0;534;-;534;-
Universitäten in Trägerschaft des Landes;  Psychologie;2014;8074;-;193;7881;2297;5584;-
Universitäten in Trägerschaft des Landes;  Romanistik;2014;130;-;2;128;40;88;-
Universitäten in Trägerschaft des Landes;  Slawistik, Baltistik, Finno-Ugristik;2014;578;-;28;551;151;400;-
Universitäten in Trägerschaft des Landes;  Sonderpädagogik;2014;66;-;-;66;66;0;-
Universitäten in Trägerschaft des Landes;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;2042;293;130;1618;-;1618;-
Universitäten in Trägerschaft des Landes;  Sprach- und Kulturwissenschaften allgemein;2014;460;-;1;459;-;459;-
Universitäten in Trägerschaft des Landes;Sport;2014;3033;387;228;2417;1458;960;-
Universitäten in Trägerschaft des Landes;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;18071;43;861;17167;5384;11783;-
Universitäten in Trägerschaft des Landes;  Politikwissenschaften;2014;510;-;6;504;4;500;-
Universitäten in Trägerschaft des Landes;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;931;-;63;867;74;793;-
Universitäten in Trägerschaft des Landes;  Rechtswissenschaften;2014;722;2;72;648;10;639;-
Universitäten in Trägerschaft des Landes;  Regionalwissenschaften;2014;243;-;0;242;-;242;-
Universitäten in Trägerschaft des Landes;  Sozialwesen;2014;139;-;-;139;29;110;-
Universitäten in Trägerschaft des Landes;  Sozialwissenschaften;2014;3506;6;37;3463;481;2982;-
Universitäten in Trägerschaft des Landes;  Verwaltungswissenschaften;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Wirtschaftswissenschaften;2014;12019;34;683;11302;4785;6517;-
Universitäten in Trägerschaft des Landes;Mathematik, Naturwissenschaften;2014;106582;136;3136;102790;29866;72924;520
Universitäten in Trägerschaft des Landes;  Biologie;2014;25755;2;883;24870;5948;18922;-
Universitäten in Trägerschaft des Landes;  Chemie;2014;23952;36;777;22761;5663;17097;378
Universitäten in Trägerschaft des Landes;  Geographie;2014;935;1;16;844;241;603;74
Universitäten in Trägerschaft des Landes;  Geowissenschaften (ohne Geographie);2014;7657;6;1168;6482;3363;3119;-
Universitäten in Trägerschaft des Landes;  Informatik;2014;23568;90;-138;23616;6354;17262;-
Universitäten in Trägerschaft des Landes;  Mathematik;2014;2784;-;31;2752;917;1836;-
Universitäten in Trägerschaft des Landes;  Mathematik, Naturwissenschaften allgemein;2014;67;-;-;67;67;-;-
Universitäten in Trägerschaft des Landes;  Pharmazie;2014;379;-;0;379;53;327;-
Universitäten in Trägerschaft des Landes;  Physik, Astronomie;2014;21484;-;398;21018;7261;13757;68
Universitäten in Trägerschaft des Landes;Humanmedizin/Gesundheitswissenschaften;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Gesundheitswissenschaften allgemein;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Humanmedizin allgemein;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;-;-;-;-;-;-;-
