GENESIS-Tabelle: 21371-101
Hochschulfinanzen: Einnahmen (EUR), Einnahmenarten,;;;;;;;;;
Hochschulen, Lehr- und Forschungsbereiche -;;;;;;;;;
Sachsen - Jahre (2006 bis 2014);;;;;;;;;
Hochschulfinanzstatistik, jährlich;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Einnahmen der Hochschulen (Tsd. EUR);;;;;;;;;
;;;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten
;;;Insgesamt;Beiträge der Studenten;Einnahmen aus wirtschaftl. Tätigkeit und Vermögen;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;And. Einnahmen aus Zuwendungen/Zuschüssen (oh.T.)
;;;;Insgesamt;Insgesamt;Insgesamt;vom öffentlichen  Bereich (ohne Träger);vom anderen Bereich (ohne Träger);Insgesamt
Universitätskliniken;  Raumplanung;2014;-;-;-;-;-;-;-
Universitätskliniken;  Verkehrstechnik, Nautik;2014;-;-;-;-;-;-;-
Universitätskliniken;  Vermessungswesen;2014;-;-;-;-;-;-;-
Universitätskliniken;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Universitätskliniken;Kunst, Kunstwissenschaft;2014;-;-;-;-;-;-;-
Universitätskliniken;  Bildende Kunst;2014;-;-;-;-;-;-;-
Universitätskliniken;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;-;-;-;-;-;-;-
Universitätskliniken;  Gestaltung;2014;-;-;-;-;-;-;-
Universitätskliniken;  Kunst, Kunstwissenschaft allgemein;2014;-;-;-;-;-;-;-
Universitätskliniken;  Musik, Musikwissenschaft;2014;-;-;-;-;-;-;-
Universitätskliniken;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;-;-;-;-;-;-;-
Universitätskliniken;  Hochschule insgesamt;2014;-;-;-;-;-;-;-
Universitätskliniken;  Hochschulrechenzentrum;2014;-;-;-;-;-;-;-
Universitätskliniken;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;-;-;-;-;-;-;-
Universitätskliniken;  Soziale Einrichtungen;2014;-;-;-;-;-;-;-
Universitätskliniken;  Übrige Ausbildungseinrichtungen;2014;-;-;-;-;-;-;-
Universitätskliniken;  Zentral verwaltete Hörsäle und Lehrräume;2014;-;-;-;-;-;-;-
Universitätskliniken;  Zentralbibliothek;2014;-;-;-;-;-;-;-
Universitätskliniken;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;-;-;-;-;-;-;-
Universitätskliniken;  Zentrale Hochschulverwaltung;2014;-;-;-;-;-;-;-
Universitätskliniken;  Zentrale wissenschaftliche Einrichtungen;2014;-;-;-;-;-;-;-
Universitätskliniken;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;100931;-;96849;3535;1495;2040;546
Universitätskliniken;  Kliniken insgesamt, Zentrale Dienste;2014;82889;-;79261;3284;1495;1789;345
Universitätskliniken;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;2347;-;2096;251;-;251;-
Universitätskliniken;  Soziale Einrichtungen der Kliniken;2014;371;-;371;-;-;-;-
Universitätskliniken;  Übrige Ausbildungseinrichtungen der Kliniken;2014;15323;-;15122;-;-;-;202
Universitätskliniken;Insgesamt;2014;860838;15;777768;82011;24661;57350;1044
private Universitäten;Sprach- und Kulturwissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;-;-;-;-;-;-;-
private Universitäten;  Altphilologie (klass. Philologie);2014;-;-;-;-;-;-;-
private Universitäten;  Anglistik, Amerikanistik;2014;-;-;-;-;-;-;-
private Universitäten;  Bibliothekswissenschaft, Dokumentation;2014;-;-;-;-;-;-;-
private Universitäten;  Erziehungswissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Evangelische Theologie;2014;-;-;-;-;-;-;-
private Universitäten;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;-;-;-;-;-;-;-
private Universitäten;  Geschichte;2014;-;-;-;-;-;-;-
private Universitäten;  Katholische Theologie;2014;-;-;-;-;-;-;-
private Universitäten;  Kulturwissenschaften i.e.S.;2014;-;-;-;-;-;-;-
private Universitäten;  Philosophie;2014;-;-;-;-;-;-;-
private Universitäten;  Psychologie;2014;-;-;-;-;-;-;-
private Universitäten;  Romanistik;2014;-;-;-;-;-;-;-
private Universitäten;  Slawistik, Baltistik, Finno-Ugristik;2014;-;-;-;-;-;-;-
private Universitäten;  Sonderpädagogik;2014;-;-;-;-;-;-;-
private Universitäten;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Sprach- und Kulturwissenschaften allgemein;2014;-;-;-;-;-;-;-
private Universitäten;Sport;2014;-;-;-;-;-;-;-
private Universitäten;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;10119;5676;1642;2801;769;2032;-
private Universitäten;  Politikwissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;1452;1347;104;2;-;2;-
private Universitäten;  Rechtswissenschaften;2014;94;47;17;30;8;22;-
private Universitäten;  Regionalwissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Sozialwesen;2014;-;-;-;-;-;-;-
private Universitäten;  Sozialwissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Verwaltungswissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
private Universitäten;  Wirtschaftswissenschaften;2014;8573;4282;1522;2769;761;2008;-
private Universitäten;Mathematik, Naturwissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Biologie;2014;-;-;-;-;-;-;-
private Universitäten;  Chemie;2014;-;-;-;-;-;-;-
private Universitäten;  Geographie;2014;-;-;-;-;-;-;-
private Universitäten;  Geowissenschaften (ohne Geographie);2014;-;-;-;-;-;-;-
private Universitäten;  Informatik;2014;-;-;-;-;-;-;-
private Universitäten;  Mathematik;2014;-;-;-;-;-;-;-
private Universitäten;  Mathematik, Naturwissenschaften allgemein;2014;-;-;-;-;-;-;-
private Universitäten;  Pharmazie;2014;-;-;-;-;-;-;-
private Universitäten;  Physik, Astronomie;2014;-;-;-;-;-;-;-
private Universitäten;Humanmedizin/Gesundheitswissenschaften;2014;2944;1915;872;156;42;114;-
private Universitäten;  Gesundheitswissenschaften allgemein;2014;2944;1915;872;156;42;114;-
private Universitäten;  Humanmedizin allgemein;2014;-;-;-;-;-;-;-
private Universitäten;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;-;-;-;-;-;-;-
private Universitäten;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
private Universitäten;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
private Universitäten;  Zahnmedizin (klinisch-praktisch);2014;-;-;-;-;-;-;-
private Universitäten;Veterinärmedizin;2014;-;-;-;-;-;-;-
private Universitäten;  Klinisch-Praktische Veterinärmedizin;2014;-;-;-;-;-;-;-
private Universitäten;  Klinisch-Theoretische Veterinärmedizin;2014;-;-;-;-;-;-;-
private Universitäten;  Veterinärmedizin allgemein;2014;-;-;-;-;-;-;-
private Universitäten;  Vorklinische Veterinärmedizin;2014;-;-;-;-;-;-;-
private Universitäten;Agrar-, Forst- und Ernährungswissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
private Universitäten;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;-;-;-;-;-;-;-
private Universitäten;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
private Universitäten;  Forstwissenschaft, Holzwirtschaft;2014;-;-;-;-;-;-;-
private Universitäten;  Landespflege, Umweltgestaltung;2014;-;-;-;-;-;-;-
private Universitäten;Ingenieurwissenschaften;2014;1303;1165;138;-;-;-;-
private Universitäten;  Architektur;2014;-;-;-;-;-;-;-
private Universitäten;  Bauingenieurwesen;2014;-;-;-;-;-;-;-
private Universitäten;  Bergbau, Hüttenwesen;2014;-;-;-;-;-;-;-
private Universitäten;  Elektrotechnik;2014;-;-;-;-;-;-;-
private Universitäten;  Ingenieurwissenschaften allgemein;2014;1303;1165;138;-;-;-;-
private Universitäten;  Maschinenbau/Verfahrenstechnik;2014;-;-;-;-;-;-;-
private Universitäten;  Raumplanung;2014;-;-;-;-;-;-;-
private Universitäten;  Verkehrstechnik, Nautik;2014;-;-;-;-;-;-;-
private Universitäten;  Vermessungswesen;2014;-;-;-;-;-;-;-
private Universitäten;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
private Universitäten;Kunst, Kunstwissenschaft;2014;-;-;-;-;-;-;-
private Universitäten;  Bildende Kunst;2014;-;-;-;-;-;-;-
private Universitäten;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;-;-;-;-;-;-;-
private Universitäten;  Gestaltung;2014;-;-;-;-;-;-;-
private Universitäten;  Kunst, Kunstwissenschaft allgemein;2014;-;-;-;-;-;-;-
private Universitäten;  Musik, Musikwissenschaft;2014;-;-;-;-;-;-;-
private Universitäten;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;523;-;516;6;6;-;-
private Universitäten;  Hochschule insgesamt;2014;523;-;516;6;6;-;-
private Universitäten;  Hochschulrechenzentrum;2014;-;-;-;-;-;-;-
private Universitäten;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;-;-;-;-;-;-;-
private Universitäten;  Soziale Einrichtungen;2014;-;-;-;-;-;-;-
private Universitäten;  Übrige Ausbildungseinrichtungen;2014;-;-;-;-;-;-;-
private Universitäten;  Zentral verwaltete Hörsäle und Lehrräume;2014;-;-;-;-;-;-;-
private Universitäten;  Zentralbibliothek;2014;-;-;-;-;-;-;-
private Universitäten;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;-;-;-;-;-;-;-
private Universitäten;  Zentrale Hochschulverwaltung;2014;-;-;-;-;-;-;-
private Universitäten;  Zentrale wissenschaftliche Einrichtungen;2014;-;-;-;-;-;-;-
private Universitäten;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;-;-;-;-;-;-;-
private Universitäten;  Kliniken insgesamt, Zentrale Dienste;2014;-;-;-;-;-;-;-
private Universitäten;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;-;-;-;-;-;-;-
private Universitäten;  Soziale Einrichtungen der Kliniken;2014;-;-;-;-;-;-;-
private Universitäten;  Übrige Ausbildungseinrichtungen der Kliniken;2014;-;-;-;-;-;-;-
private Universitäten;Insgesamt;2014;14888;8756;3168;2964;818;2146;-
Kunsthochschulen unter Trägerschaft des Landes;Sprach- und Kulturwissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Altphilologie (klass. Philologie);2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Anglistik, Amerikanistik;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Bibliothekswissenschaft, Dokumentation;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Erziehungswissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Evangelische Theologie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Geschichte;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Katholische Theologie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Kulturwissenschaften i.e.S.;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Philosophie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Psychologie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Romanistik;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Slawistik, Baltistik, Finno-Ugristik;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Sonderpädagogik;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Sprach- und Kulturwissenschaften allgemein;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;Sport;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Politikwissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Rechtswissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Regionalwissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Sozialwesen;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Sozialwissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Verwaltungswissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Wirtschaftswissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;Mathematik, Naturwissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Biologie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Chemie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Geographie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Geowissenschaften (ohne Geographie);2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Informatik;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Mathematik;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Mathematik, Naturwissenschaften allgemein;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Pharmazie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Physik, Astronomie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;Humanmedizin/Gesundheitswissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Gesundheitswissenschaften allgemein;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Humanmedizin allgemein;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Zahnmedizin (klinisch-praktisch);2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;Veterinärmedizin;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Klinisch-Praktische Veterinärmedizin;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Klinisch-Theoretische Veterinärmedizin;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Veterinärmedizin allgemein;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Vorklinische Veterinärmedizin;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;Agrar-, Forst- und Ernährungswissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Forstwissenschaft, Holzwirtschaft;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Landespflege, Umweltgestaltung;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;Ingenieurwissenschaften;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Architektur;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Bauingenieurwesen;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Bergbau, Hüttenwesen;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Elektrotechnik;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Ingenieurwissenschaften allgemein;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Maschinenbau/Verfahrenstechnik;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Raumplanung;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Verkehrstechnik, Nautik;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Vermessungswesen;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;Kunst, Kunstwissenschaft;2014;4111;611;179;3289;906;2383;33
Kunsthochschulen unter Trägerschaft des Landes;  Bildende Kunst;2014;400;15;-;385;-;385;-
Kunsthochschulen unter Trägerschaft des Landes;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;738;92;126;520;432;88;-
Kunsthochschulen unter Trägerschaft des Landes;  Gestaltung;2014;53;-;10;43;-;43;-
Kunsthochschulen unter Trägerschaft des Landes;  Kunst, Kunstwissenschaft allgemein;2014;339;-;-;339;52;287;-
Kunsthochschulen unter Trägerschaft des Landes;  Musik, Musikwissenschaft;2014;2582;504;42;2003;422;1581;33
Kunsthochschulen unter Trägerschaft des Landes;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;1224;74;248;752;67;685;151
Kunsthochschulen unter Trägerschaft des Landes;  Hochschule insgesamt;2014;917;-;168;598;-;598;151
Kunsthochschulen unter Trägerschaft des Landes;  Hochschulrechenzentrum;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;18;18;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Soziale Einrichtungen;2014;37;-;37;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Übrige Ausbildungseinrichtungen;2014;1;-;-;1;-;1;-
Kunsthochschulen unter Trägerschaft des Landes;  Zentral verwaltete Hörsäle und Lehrräume;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Zentralbibliothek;2014;5;5;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Zentrale Hochschulverwaltung;2014;153;33;43;77;54;23;-
Kunsthochschulen unter Trägerschaft des Landes;  Zentrale wissenschaftliche Einrichtungen;2014;94;18;-;75;13;63;-
Kunsthochschulen unter Trägerschaft des Landes;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Kliniken insgesamt, Zentrale Dienste;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Soziale Einrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;  Übrige Ausbildungseinrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Kunsthochschulen unter Trägerschaft des Landes;Insgesamt;2014;5335;684;426;4041;973;3068;184
private und kirchliche Kunsthochschulen;Sprach- und Kulturwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Altphilologie (klass. Philologie);2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Anglistik, Amerikanistik;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Bibliothekswissenschaft, Dokumentation;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Erziehungswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Evangelische Theologie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Geschichte;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Katholische Theologie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Kulturwissenschaften i.e.S.;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Philosophie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Psychologie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Romanistik;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Slawistik, Baltistik, Finno-Ugristik;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Sonderpädagogik;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Sprach- und Kulturwissenschaften allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Sport;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Politikwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Rechtswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Regionalwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Sozialwesen;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Sozialwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Verwaltungswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Wirtschaftswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Mathematik, Naturwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Biologie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Chemie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Geographie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Geowissenschaften (ohne Geographie);2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Informatik;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Mathematik;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Mathematik, Naturwissenschaften allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Pharmazie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Physik, Astronomie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Humanmedizin/Gesundheitswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Gesundheitswissenschaften allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Humanmedizin allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Zahnmedizin (klinisch-praktisch);2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Veterinärmedizin;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Klinisch-Praktische Veterinärmedizin;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Klinisch-Theoretische Veterinärmedizin;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Veterinärmedizin allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Vorklinische Veterinärmedizin;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Agrar-, Forst- und Ernährungswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Forstwissenschaft, Holzwirtschaft;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Landespflege, Umweltgestaltung;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Ingenieurwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Architektur;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Bauingenieurwesen;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Bergbau, Hüttenwesen;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Elektrotechnik;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Ingenieurwissenschaften allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Maschinenbau/Verfahrenstechnik;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Raumplanung;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Verkehrstechnik, Nautik;2014;-;-;-;-;-;-;-
